Priority,Title,Slug,Link,Categories,Have,Description
100,TransferWise - Send Money Abroad,transferwise,https://crsp.li/Transferwise,"Software, Current",TRUE,"When I get paid internationally, TransferWise is the best place to send big money through. It's pricing on international cross currency transfers is great."
100,Scaleway - Server Hosting,scaleway,https://crsp.li/Scaleway,"Software, Current",TRUE,I host my website and web services all on one server with Scaleway.
100,ArtList.io / Music for Video Creators,artlist,https://crsp.li/Artlist,"Software, Current, Camera",TRUE,Are you using music in your videos? Have you ever had a video be claimed by the artist? Not with this service. ArtList provides a huge library of music which you can use for your own videos as well as videos that you produce for clients!
100,LumaFusion for iOS,lumafusion,https://crsp.li/lumafusion,"Software, Current, Camera",TRUE,"Mobile video editing on steroids. It's incredibly powerful and you can do a lot on the go. I still prefer to work on my MacBook and feel more productive there but if I must do it mobile, this is the tool for bigger videos."
100,Audiio,audiio,https://crsp.li/Audiio,"Software, Current, Camera",TRUE,This is where I get all my music for videos from. It's a one time license so you don't have to pay a yearly subscription! And they have sound effects as well!
100,TubeBuddy,tubebuddy,https://crsp.li/Tubebuddy,"Software, Current, Camera",TRUE,Analyzing your YouTube channel? TubeBuddy is your best friend.
100,Adobe Creative Cloud,creativecloud,https://crsp.li/Adobe,"Software, Current, Camera, Podcast",TRUE,"For a creative person, I guess this is a must have. Photoshop, Lightroom, Premiere Pro, and Audition are the programs I use most out of this suite!"
100,Trade Republic,traderepublic,https://crsp.li/TradeRepublic,"Software, Current, Investing",TRUE,I do all my stock market investing with Trade Republic. I especially love their free monthly contribution savings plans with ETFs and individual stocks.
10,Sony Alpha a7II,sony-a7ii,https://www.amazon.com/Sony-Alpha-Mirrorless-Digital-Camera/dp/B00PX8CHO6/ref=sr_1_3?ie=UTF8&qid=1538941114&sr=8-3&keywords=Sony+Alpha+a7II%3B&tag=chspks-20,Sold,FALSE,I made the switch from Canon to Sony in late 2016 and decided to go to the a7II first. Then in May 2017 I also bought the a7S II for the video and lowlight capabilities. But I still prefer the A7 II for photos (megapixels sometimes count). Also having two cameras helps with the prime lenses. I love the 85mm on the Sony a7 II for photos and the 25mm on the a7S II for video for handheld vlogging.
10,Sony Alpha a7S II,sony-a7sii,https://www.amazon.com/Sony-Alpha-Mirrorless-Digital-Camera/dp/B015HN4VJK/ref=sr_1_13?ie=UTF8&qid=1538941114&sr=8-13&keywords=Sony+Alpha+a7S+II%3B&tag=chspks-20,Sold,FALSE,In late May 2017 I bought the a7S II - in addition to my a7 II - for the video slow motion (1080p120fps & 4k internal) and lowlight capabilities. I still prefer the a7 II for photos (megapixels sometimes count) but in the video arena the a7S II is my new beast. Also having two cameras helps with the prime lenses. I love the 25mm on the a7S II for video for handheld vlogging and 85mm on the Sony a7 II for photos.
15,iPhone 7 Plus 128GB Black,apple-iphone-7-plus,https://www.amazon.com/Apple-iPhone-Plus-Unlocked-128GB/dp/B0743HPQVB/ref=sr_1_2?ie=UTF8&qid=1538941121&sr=8-2&keywords=iPhone+7+Plus+128GB+Black%3B&tag=chspks-20,Sold,FALSE,"I think this is obvious. A phone, camera, computer, and overall communication device. Maybe I'll be cool enough one day to own one of those cool iPhone X line ones."
15,GoPro Max 360 Camera,gopro-max,https://crsp.li/GoProMax,Sold,FALSE,"Capturing 360 video? Yes, please. I'd love to play with this more."
16,GoPro Max Dual Battery Charger,gopro-max-dual-charger,https://www.amazon.com/s?k=GoPro+Max+Dual+Battery+Charger,Sold,FALSE,Charging those 360 video batteries.
16,GoPro Max Grip + Tripod,gopro-max-grip-tripod,https://www.amazon.com/s?k=360+monopod,Sold,FALSE,The selfie stick to use with the GoPro Max. No matter if in Hero mode or 360 without the stick in the frame.
30,Sigma ART 35mm f/1.4 for Canon EF,sigma-35,https://www.amazon.com/Sigma-35mm-F1-4-Lens-Canon/dp/B00A35X6NU/ref=sr_1_3?ie=UTF8&qid=1538941115&sr=8-3&keywords=Sigma+ART+35mm+f%2F1.4+for+Canon%3B&tag=chspks-20,Sold,FALSE,I have this lens with the Canon mount and the adapter MC-11 made by Sigma as well. I love this lens. It's incredibly sharp and has an amazing bokeh as well as shallow depth of field. Just lovely.
30,Zeiss Batis 85mm f/1.8,zeiss-batis-85,https://www.amazon.com/Zeiss-Batis-85mm-Lens-Mount/dp/B00WII52ZU/ref=sr_1_2?ie=UTF8&qid=1538941115&sr=8-2&keywords=Zeiss+Batis+85mm+f%2F1.8%3B&tag=chspks-20,Sold,FALSE,This is a sharp beast. I sometimes wish it was a little longer (maybe 105 or 135mm) but that's a different kind of lense. This is great for portraits and throwing backgrounds out of focus. Just lovely.
30,Zeiss Batis 25mm f/2.0,zeiss-batis-25,https://www.amazon.com/Zeiss-Batis-Lens-25-Sony/dp/B00WIHXBK4/ref=sr_1_1?ie=UTF8&qid=1538941166&sr=8-1&keywords=Zeiss+Batis+25mm+f%2F2.0&tag=chspks-20,Sold,FALSE,"This lens is incredible on my full frame a7. It's super sharp, nicely wide but not creepy wide. For video it's also a almost 35mm with the APS-C mode on the a7 which is super handy. I love this lens. Also this is the lens I use most of the time when shooting with the Gimbal (or handheld vlog). I also think it is wide enough for most vlogging situations (just sometimes I wish to have a 20 or 18mm)."
40,GoPro Hero 5 Black,gopro-hero-5,https://www.amazon.com/GoPro-HERO5-Black-Waterproof-Digital/dp/B01M14ATO0/ref=sr_1_3?s=photo&ie=UTF8&qid=1538941250&sr=1-3&keywords=GoPro+Hero+5+Black&tag=chspks-20,Sold,FALSE,Upgraded from the GoPro Hero 4 Black. Now with the display on the 5 and the linear modes. I did not think that the upgrade would be so massive. I was absolutely positively surprised - sidenote: the not needing the housing helps as well!
41,NP-F970 Batteries,np-f970-batteries,https://crsp.li/npfstyle,Sold,FALSE,"Running the Atomos Ninja V or Zoom F6 in the field, you'll need some NP-F style batteries."
41,NP-F970 Dual Charger,np-f970-dual-charger,https://crsp.li/npfstyle,Sold,FALSE,Charging those NP-F style batteries for the Atomos Ninja V and Zoom F6.
50,GoPro Hero 5 Dual Battery Charger,gopro-hero-charger,https://www.amazon.com/GoPro-Battery-Charger-Official-Accessory/dp/B01LZHRYJS/ref=sr_1_3?ie=UTF8&qid=1538941651&sr=8-3&keywords=GoPro+Hero+Dual+Battery+Charger&tag=chspks-20,Sold,FALSE,Charging batteries inside the GoPro is just nonsensical. Use this and you can charge two at the same time. In total I own 3 GoPro batteries right now.
50,GoPro Tripod Mount Adapter,gopro-tripod-adapter,https://www.amazon.com/Smatree-Aluminum-Tripod-Adapter-Session/dp/B00GWBXL16/ref=sr_1_3?ie=UTF8&qid=1538941117&sr=8-3&keywords=GoPro+Tripod+Mount+Adapter%3B&tag=chspks-20,Sold,FALSE,I have a tripod quick release plate attached to this adapter and it helps me mount the GoPro to all kinds of tripods easily.
50,DJI Mavic Pro Controller Clip,dji-mavic-guard,https://www.amazon.com/Deyard-Upgraded-Transport-Controller-Transmitter/dp/B071CDFLKS/ref=sr_1_6?ie=UTF8&qid=1538941116&sr=8-6&keywords=DJI+Mavic+Pro+Controller+Clip%3B&tag=chspks-20,Sold,FALSE,I have heard bad stories about the controller sticks being displaced. Now I have this clamp and it feels better - if it helps - I don't know.
50,DJI Mavic Pro - ND Filters,dji-mavic-nd-filters,https://www.amazon.com/Neewer-Pieces-Filter-Mavic-Quadcopter/dp/B06XYL8RW4/ref=sr_1_8?ie=UTF8&qid=1538941116&sr=8-8&keywords=DJI+Mavic+Pro+-+ND+Filters%3B&tag=chspks-20,Sold,FALSE,Recently added these to my kit to have some better frame rates with my Mavic in harsh sunlight. Works wonders.
50,GoPro 3 Way Grip Arm,gopro-stick,https://www.amazon.com/GoPro-3-Way-Tripod-Official-Mount/dp/B00KCX8H6E/ref=sr_1_2?ie=UTF8&qid=1538941116&sr=8-2&keywords=GoPro+3+Way+Grip+Arm%3B&tag=chspks-20,Sold,FALSE,The only selfie stick I ever owned.
50,GoPro Suction Mount,gopro-suction,https://www.amazon.com/GoPro-Suction-Cup-Mount-Official/dp/B00F19Q7YI/ref=sr_1_1?ie=UTF8&qid=1538941116&sr=8-1&keywords=GoPro+Suction+Cup%3B&tag=chspks-20,Sold,FALSE,This is great for mounting on windows or cars.
50,DJI Mavic Pro - Fly More Combo,dji-mavic-fly-more-pack,https://www.amazon.com/DJI-Mavic-Pro-More-Combo/dp/B01LYBLZRK/ref=sr_1_5?ie=UTF8&qid=1538941116&sr=8-5&keywords=DJI+Mavic+Pro+-+Fly+More+Combo%3B&tag=chspks-20,Sold,FALSE,"This is the first drone I ever owned. One thing: I found it incredible what kind of perspectives it gives you on your surroundings. It's just incredible. Get one, be in awww, and shoot great new scenery."
50,GoPro Dome,gopro-dome,https://www.amazon.com/Vicdozia-Waterproof-Transparent-Underwater-Photography/dp/B01HB4I6RQ/ref=sr_1_3?ie=UTF8&qid=1538941116&sr=8-3&keywords=Dome+Port+for+GoPro+Hero+5%3B&tag=chspks-20,Sold,FALSE,You want to get these really cool split shots of above and below the water with your GoPro? This is what I use.
70,Røde PodMic,rode-podmic,https://crsp.li/RodePodMic,Sold,FALSE,"A great competitor to the Shure SM7B which is a classic in the vocal recording world. The PodMic is great for podcasts, delivers a clear voice, and also looks pretty incredible."
70,Zhiyun Crane v2,zhiyun-crane-v2,https://www.amazon.com/Crane-V2-Brushless-Stabilizer-Mirrorless/dp/B01I2MWUOG/ref=sr_1_7?s=photo&ie=UTF8&qid=1538941352&sr=1-7&keywords=Zhiyun+crane&tag=chspks-20,Sold,FALSE,Butter smooth. This gimbal works great with the weight I am putting on it. And it is small - makes it easy to travel with.
70,Røde VideoMicro,rode-video-micro,https://crsp.li/RodeVideoMicro,Sold,FALSE,"Great on camera mic - small, does not need an extra battery."
70,Peak Design Everyday Backpack 30L Charcoal,peakdesign-everyday-backpack,https://www.amazon.com/Peak-Design-Everyday-Backpack-Charcoal/dp/B01M6C2Z91/ref=sr_1_1?ie=UTF8&qid=1538941120&sr=8-1&keywords=Peak+Design+Everyday+Backpack+30L+Charcoal%3B&tag=chspks-20,Sold,FALSE,"I got the PeakDesign Backpack 20L first. That was a little too small. Now I have the 30L version and it's almost perfect. All the stuff listed in this kit lives inside this backpack. Drone, Sony, Lenses, GoPro, Laptop. Everything! Again: I love it."
70,Røde SmartLav+,rode-smartlav-plus,https://crsp.li/RodeSmartLavPlus,Sold,FALSE,"One amazing mic. I love this lavalier - easy to attach, and you don't have any extra bulky sender / receiver. Just easy and clear sound. Downside: you have to sync in post (or use the long cables and adapter listed as well)."
70,Peak Design Lens Kit,peakdesign-lens-kit,https://www.amazon.com/Peak-Design-Capture-Lens-Canon/dp/B017KOK7UQ/ref=sr_1_2?ie=UTF8&qid=1538941116&sr=8-2&keywords=Peak+Design+Lens+Kit%3B&tag=chspks-20,Sold,FALSE,This is amazing to store or carry two Sony E-Mount Lenses all the time. I can attach it to one of the Capture Clips or just throw the lenses into my backpack. So much more convenient. Also: these are available for almost all other lens mount systems.
70,Deity V-Mic D3 Pro,deity-v-mic-d3-pro,https://www.amazon.com/Deity-Super-Cardioid-Directional-Smartphones-Transmitters/dp/B07K2XDDH3/ref=sr_1_4?crid=3Q5HQMFAX7L2B&keywords=deity+d3+pro&qid=1563137250&s=gateway&sprefix=deity%2Caps%2C565&sr=8-4,Sold,FALSE,"Upgrade from the Røde VideoMicro, the difference is huge and I am very happy with this mic. Providing the USB-C chargeable internal battery, long battery life, supirior sound, and auto off feature, it's just unbeatable and so versatile."
70,Movo WS160 Microphone Windscreen,movo-ws160-windscreen-for-deity-v3-mic-pro,https://crsp.li/movows140,Sold,FALSE,When there is wind while vlogging or making videos outdoors. Just gotta have one of these. Fits the Rode VideoMic NTG perfectly.
70,Røde NT-USB Mini,rode-nt-usb-mini,https://crsp.li/RodeNTUSBMini,Sold,FALSE,You want the simplicity of using a USB microphone? Then the NT-USB Mini may be a great choice for you. Combined with the Røde Connect app and the ability to record 4 microphones at the same time this could be all you need for your 4 person interview podcast.
75,Podcast Mic - ATR2100,atr-2100,https://crsp.li/atr2100,Sold,FALSE,"A mic that has XLR and USB to either connect to professional audio gear or the laptop directly? Yes, please. It's a overall very good sounding mic and it's also light weight for travel. But it is a little too harsh on the handling/vibrating noise."
75,Zoom H5 Recorder,zoom-h5-recorder,https://crsp.li/ZoomH5,Sold,FALSE,My audio recorder of choice for in person interviews for my podcast. It can also function as a audio interface to use the XLR mics directly with Skype or other applications. Very powerful and can also be extended to handle up to 4 XLR mics!
75,Shure BETA 57A,shure-beta-57a,https://crsp.li/shurebeta57a,Sold,FALSE,My podcasting microphone of choice — I own two of these. It's incredibly durable and built like a tank while sounding absolutely stunning for my taste. It's also great in rejecting handling noise and thus very good for handheld work. I prefer this over the Shure BETA 58A becaus of it's looks and sound.
75,Shure A57AWS Locking Windscreen for BETA 57A,shure-a57aws,https://www.amazon.com/Shure-A57AWS-Locking-Windscreen-Black/dp/B0006NMUGI/ref=sr_1_fkmrnull_2?keywords=shure+beta+57a+foam&qid=1557498658&s=gateway&sr=8-2-fkmrnull,Sold,FALSE,"This is an expensive but good looking windscreen for the BETA 57A. It locks into place via a little magnet ring and helps prevent wind noise and ""p"" sounds."
80,"MacBook Pro 15"" 3.1GHz (Mid 2017)",apple-macbook-pro,https://www.amazon.com/Apple-MacBook-15-4-Inch-3-1GHz-MPTW2LL/dp/B0721V4J1H/ref=sr_1_3?ie=UTF8&qid=1538941120&sr=8-3&keywords=MacBook+Pro+15+3.1GHz+%28Mid+2017%29%3B&tag=chspks-20,Sold,FALSE,"At some point, my 2012 MacBook Pro was done. Upgrading to the fastest machine apple offered early 2018 was the best I could do to upgrade my workflow. Get some more speed and editing fun. Your computer is the one thing to bring it all together, and it better be fun to use it."
80,NP-FW50 Dual Battery Charger,np-fw50-dual-charger,https://www.amazon.com/NP-FW50-RAVPower-Battery-Versatile-Charging/dp/B01JG54F3C/ref=sr_1_3?ie=UTF8&qid=1538941627&sr=8-3&keywords=Sony+NP-FW50+Battery+Charger+dual&tag=chspks-20,Sold,FALSE,"Charging batteries inside the camera does not make sense. With this charger you can charge two at the same time via USB (or just use a battery pack) - I now own two of these! In total I own 8 NP-FW50 batteries (2 original, 6 third party)."
80,Erasable Notebook,erasable-notebook,https://www.amazon.com/gp/product/B07DN4WXV6/ref=s9_acsd_hps_bw_c_x_1_w?tag=chspks-20,Sold,FALSE,Having a notebook that I can simply erase and not worry about the whole thing just filling up and carrying around a notebook full of notes from a long time ago sounded like a good idea. Since then though I have changed my mind and am using a fountain pen more often with a regular notebook.
80,Sigma Mount Converter MC-11 (Canon EOS to Sony E-Mount),sigma-mc11-ef-to-sony-e,https://www.amazon.com/Sigma-Mount-Converter-MC-11-Lenses/dp/B01C7A3W7S/ref=sr_1_4?ie=UTF8&qid=1538941189&sr=8-4&keywords=Sigma+Mount+Converter+MC-11&tag=chspks-20,Sold,FALSE,"Since I started using the Sigma 35mm f/1.4 ART, I had to find an adapter. This is the one I chose. It is half the price of the Metabones and seems to work wonders! Works great for all the lenses I have tested (the Sigma 35, and a hand full of Canon EF lenses)."
80,Card Reader,usb-type-c-card-reader,https://www.amazon.com/gp/product/B071CJM71V/ref=oh_aui_detailpage_o00_s00?ie=UTF8&psc=1&tag=chspks-20,Sold,FALSE,The big downside of the new MacBook lineup… they don't have a card reader anymore so this is the one that just always stays in my backpack.
80,Viltrox DC-50 5' LCD Monitor,viltrox-dc-50,https://www.amazon.com/VILTROX-DC-50-Portable-Monitor-Sunshade/dp/B073FDDDPP/ref=sr_1_3?ie=UTF8&qid=1538941120&sr=8-3&keywords=Viltrox+DC-50+5+LCD+Monitor%3B&tag=chspks-20,Sold,FALSE,The Sony a7 series does feature a flip out screen. As I do a lot of videos where I just sit in front of the camera and talk for a while - and I still want to know if the camera is still on - I bought this fairly cheap monitor. Really useful in those situations - not so much for vlogging.
80,Joby GorillaPod 5K Kit,joby-gorillapod-5k-kit,https://www.amazon.com/GorillaPod-Professional-Ballhead-Mirrorless-Charcoal/dp/B074WG19MP/ref=sr_1_3?ie=UTF8&qid=1538941117&sr=8-3&keywords=Joby+GorillaPod+5K+Kit%3B&tag=chspks-20,Sold,FALSE,"The vlogging magic. Super versatile and great for small and big cameras. If you are working with mirrorless cameras and don't care about the base plate, then the smaller ones are a great choice. But combined with other tripods, and the peak design capture clip, this is your choice since the plates are the same. So you can connect your camera to whatever without screwing anything on or off."
80,ATEM Mini,atem-mini,https://crsp.li/ATEM,Sold,FALSE,"Whether you are live streaming or you would like to record multiple cameras at the same time, the ATEM Mini lineup will have something for you. I chose the cheapest option with the ATEM Mini which does not provide recording internally, but it does allow me to switch between cameras live and that signal is then recorded in the ATOMOS Ninja V which means I do not have to edit as much in post processing. This is especially powerful when creating courses which can be hours in length."
80,ATEM Mini Pro ISO,atem-mini-pro-iso,https://crsp.li/ATEMMiniProISO,Sold,FALSE,This device can live stream multiple angles but also record it all in individual files. An incredibly powerful machine.
80,Zendure SuperPort 4: 100W USB-C Desktop Charger,zendure-superport-4,https://zendure.com/products/superport-4-black-eu,Sold,FALSE,"A charging station for my desk. 100W for the MacBook Charging, and another USB-C for other things, then two extra powerful USB-A charging ports. It's so important to have good, powerful, charging for your devices so you don't brick your batteries too fast."
80,Røde PSA-1 Mic Arm,rode-psa-1-mic-arm,https://crsp.li/micarm,Sold,FALSE,I own the Røde PSA-1 Mic arm but I don't love it. There are really cheap alternatives which work great (and sometimes better than the expensive PSA-1 (specifically for light weight microphones). But I love the PSA-1 for overhead mics and some other use cases.
80,Behringer X-Touch Mini,behringer-x-touch-mini,https://crsp.li/XTouchMini,Sold,FALSE,"Controlling the ATEM Mini is not that easy so I got this MIDI controller and built a software I call ""ControllThemAll"" to make scene switches seamless and give me more hardware knobs to control things."
80,Mic Desk Stand by K&M,k-and-m-mic-desk-stand,https://crsp.li/micstand,Sold,FALSE,Handholding a mic for an hour or two is not really ideal. That's why I like to use these desk stands when possible.
100,Spark Camera App,sparkcamera,/aff/sparkcamera,Software,FALSE,"If you just want to spice up your InstaStory, Spark is the App for you! It's easy to use and very powerful for all the basics of a nice vertical video."
100,Wave - Free Invoicing & Accounting Software,waveapps,/aff/waveapps,Software,FALSE,The annoyance of running a business… you have to do invoices and accounting. Wave makes my life a little easier in this regard.
100,Zencastr — High Fidelity Podcasting,zencastr,https://crsp.li/Zencastr,Software,FALSE,"Zencastr is the tool of choice at the moment for remote interviews. Comparing Zencastr with Skype is not even fair. With Zencastr, the recording is done locally on both (or more computers). The guest and you will have a file which is uploaded to Zencastr and then you have the full audio quality you're used to when doing an inperson interview. Ofcourse, only if your guest has a good mic as well."
100,Flexispot Height Adjustable Desk,flexispot,https://crsp.li/Flexispot,Sold,FALSE,Having a hight adjustable desk is absolutely necessary. It opens up so many options to change things up while working on a long video!
100,LG Ultra-Wide Monitor LG 38UC99-W,lg-ultra-38,https://crsp.li/LGUltraWide,Sold,FALSE,"When travling I always just had a 15"" MacBook screen to work with. Having this Ultrawide monitor changed the game forever.  I always miss it when I am not at home."